iter	Passed	Remaining
0	2	250
1	4	234
2	6	222
3	8	209
4	10	206
5	13	205
6	15	204
7	17	201
8	19	200
9	22	198
10	24	196
11	26	194
12	28	192
13	31	191
14	33	188
15	35	186
16	37	183
17	39	180
18	41	178
19	44	177
20	46	174
21	48	172
22	50	169
23	53	167
24	55	165
25	57	163
26	59	161
27	61	159
28	64	156
29	66	154
30	68	152
31	70	150
32	73	148
33	75	146
34	77	144
35	79	141
36	82	139
37	84	137
38	86	135
39	88	132
40	90	130
41	91	126
42	93	124
43	95	122
44	98	119
45	100	117
46	102	115
47	104	113
48	107	111
49	109	109
50	111	107
51	113	104
52	116	102
53	118	100
54	119	97
55	121	95
56	124	93
57	126	91
58	128	89
59	130	87
60	133	85
61	135	82
62	137	80
63	139	78
64	142	76
65	144	74
66	146	72
67	148	69
68	150	67
69	152	65
70	155	63
71	157	61
72	159	58
73	161	56
74	163	54
75	165	52
76	168	50
77	170	48
78	172	45
79	174	43
80	177	41
81	179	39
82	181	37
83	183	34
84	185	32
85	187	30
86	190	28
87	192	26
88	194	24
89	196	21
90	199	19
91	201	17
92	203	15
93	205	13
94	207	10
95	209	8
96	211	6
97	213	4
98	216	2
99	218	0
