iter	Passed	Remaining
0	164	164246
1	168	83845
2	172	57426
3	176	43898
4	179	35816
5	184	30514
6	188	26740
7	192	23855
8	196	21630
9	200	19822
10	202	18237
11	205	16901
12	207	15731
13	209	14727
14	211	13864
15	213	13101
16	214	12407
17	216	11796
18	217	11234
19	219	10731
20	220	10274
21	221	9856
22	223	9475
23	224	9112
24	225	8789
25	226	8486
26	227	8200
27	228	7938
28	229	7691
29	230	7459
30	231	7242
31	232	7038
32	233	6846
33	234	6663
34	235	6491
35	236	6329
36	237	6172
37	238	6027
38	239	5891
39	240	5765
40	241	5646
41	242	5528
42	243	5413
43	244	5303
44	244	5197
45	245	5097
46	246	5003
47	247	4912
48	248	4826
49	249	4743
50	250	4661
51	251	4585
52	252	4511
53	253	4443
54	254	4380
55	256	4317
56	256	4251
57	257	4188
58	258	4127
59	259	4070
60	260	4014
61	261	3958
62	262	3904
63	263	3852
64	264	3801
65	265	3751
66	265	3703
67	266	3657
68	267	3613
69	268	3573
70	270	3536
71	271	3496
72	272	3459
73	273	3421
74	274	3383
75	275	3349
76	276	3312
77	277	3277
78	278	3244
79	279	3213
80	280	3183
81	281	3154
82	282	3119
83	283	3092
84	284	3065
85	285	3038
86	286	3010
87	287	2983
88	288	2957
89	290	2932
90	291	2907
91	292	2882
92	293	2859
93	294	2837
94	295	2815
95	296	2793
96	297	2771
97	299	2752
98	300	2733
99	301	2712
100	302	2690
101	303	2671
102	304	2651
103	305	2630
104	306	2611
105	307	2592
106	308	2575
107	309	2557
108	310	2540
109	311	2522
110	313	2507
111	314	2492
112	315	2477
113	316	2461
114	317	2445
115	318	2429
116	319	2412
117	320	2397
118	321	2381
119	322	2365
120	323	2350
121	324	2335
122	325	2321
123	326	2306
124	327	2292
125	328	2279
126	329	2265
127	330	2252
128	331	2239
129	332	2226
130	333	2213
131	334	2200
132	335	2188
133	336	2176
134	337	2165
135	338	2153
136	339	2141
137	340	2129
138	342	2118
139	343	2107
140	344	2096
141	344	2083
142	345	2072
143	346	2062
144	347	2051
145	349	2041
146	350	2031
147	351	2021
148	352	2010
149	353	2000
150	354	1991
151	355	1981
152	356	1972
153	357	1961
154	358	1952
155	359	1944
156	360	1935
157	361	1926
158	362	1917
159	363	1908
160	364	1897
161	365	1889
162	366	1880
163	367	1871
164	368	1863
165	369	1855
166	370	1846
167	371	1838
168	372	1830
169	373	1823
170	374	1816
171	375	1808
172	376	1800
173	377	1793
174	378	1785
175	379	1777
176	380	1769
177	381	1762
178	382	1755
179	383	1747
180	384	1740
181	385	1733
182	387	1727
183	388	1721
184	389	1714
185	390	1707
186	391	1701
187	392	1694
188	393	1688
189	394	1681
190	395	1674
191	396	1667
192	397	1661
193	398	1655
194	399	1648
195	400	1642
196	402	1638
197	403	1635
198	405	1630
199	406	1624
200	407	1620
201	408	1614
202	409	1609
203	410	1603
204	412	1598
205	413	1592
206	414	1586
207	415	1581
208	416	1575
209	417	1570
210	418	1564
211	419	1558
212	420	1553
213	421	1547
214	422	1541
215	423	1535
216	423	1529
217	424	1523
218	425	1518
219	426	1512
220	427	1506
221	428	1500
222	429	1495
223	430	1490
224	431	1485
225	432	1480
226	433	1475
227	434	1470
228	435	1465
229	435	1459
230	436	1454
231	437	1449
232	438	1443
233	439	1438
234	440	1433
235	441	1428
236	442	1423
237	443	1418
238	443	1413
239	444	1408
240	445	1403
241	446	1399
242	447	1395
243	448	1390
244	449	1385
245	450	1380
246	451	1375
247	452	1371
248	453	1366
249	453	1361
250	454	1357
251	455	1352
252	456	1347
253	457	1343
254	458	1338
255	459	1334
256	460	1330
257	461	1326
258	462	1322
259	463	1318
260	464	1314
261	465	1309
262	465	1305
263	466	1301
264	467	1297
265	468	1293
266	469	1289
267	470	1284
268	471	1280
269	472	1276
270	473	1272
271	474	1268
272	475	1265
273	476	1262
274	477	1259
275	478	1255
276	479	1251
277	480	1247
278	481	1243
279	482	1240
280	483	1236
281	484	1232
282	484	1228
283	485	1224
284	486	1221
285	487	1217
286	488	1214
287	489	1210
288	490	1207
289	491	1204
290	492	1201
291	493	1197
292	494	1193
293	495	1190
294	496	1186
295	497	1182
296	498	1179
297	499	1175
298	500	1172
299	500	1168
300	501	1165
301	502	1162
302	503	1158
303	504	1155
304	505	1152
305	507	1149
306	508	1147
307	509	1143
308	510	1140
309	511	1137
310	512	1135
311	513	1132
312	514	1129
313	515	1126
314	516	1123
315	517	1120
316	518	1117
317	519	1114
318	520	1112
319	522	1109
320	523	1106
321	524	1104
322	525	1101
323	526	1098
324	527	1095
325	528	1092
326	529	1089
327	530	1086
328	531	1083
329	532	1080
330	533	1078
331	534	1075
332	535	1073
333	537	1071
334	538	1068
335	539	1065
336	540	1063
337	541	1060
338	542	1058
339	544	1056
340	545	1054
341	546	1051
342	547	1048
343	548	1045
344	549	1043
345	550	1041
346	552	1040
347	554	1038
348	555	1035
349	556	1034
350	558	1032
351	559	1029
352	560	1028
353	561	1025
354	563	1023
355	564	1020
356	565	1018
357	567	1017
358	568	1015
359	570	1013
360	571	1011
361	572	1009
362	574	1007
363	575	1004
364	576	1002
365	577	1000
366	578	997
367	579	995
368	580	993
369	582	991
370	583	989
371	585	988
372	587	986
373	588	984
374	589	981
375	590	979
376	590	976
377	592	974
378	593	971
379	593	969
380	595	967
381	596	965
382	598	963
383	600	962
384	601	960
385	602	958
386	603	955
387	604	953
388	605	951
389	606	948
390	607	945
391	608	943
392	609	940
393	610	938
394	612	937
395	613	935
396	615	934
397	616	932
398	617	929
399	618	927
400	619	925
401	620	922
402	621	920
403	622	918
404	623	915
405	624	913
406	625	911
